team_stats_id,game_id,team_id,points_scored,points_allowed,team_pa_yd,team_ru_yd,sacks,fr,int,def_td,opp_pa,opp_pa_yd,opp_ru_yd,safety,kick_td
1,2024090501,3,,,,,2,0,1,0,27,291,72,0,0
2,2024090501,16,,,,,1,1,0,0,20,273,185,0,0
3,2024090601,12,,,,,2,1,2,0,34,278,144,0,0
4,2024090601,26,,,,,2,0,1,0,29,260,163,0,0
5,2024090801,2,,,,,2,0,0,0,18,156,137,0,0
6,2024090801,27,,,,,2,1,2,0,10,155,89,0,0
7,2024090802,1,,,,,2,1,0,0,34,232,130,0,1
8,2024090802,4,,,,,4,1,0,0,28,162,124,0,0
9,2024090803,6,,,,,3,1,2,1,17,127,140,0,1
10,2024090803,31,,,,,2,1,0,0,24,93,84,0,0
11,2024090804,7,,,,,1,0,0,0,16,121,170,0,0
12,2024090804,22,,,,,3,2,0,0,10,164,70,0,0
13,2024090805,13,,,,,2,0,1,0,27,212,104,0,0
14,2024090805,14,,,,,4,0,0,0,29,234,213,0,0
15,2024090806,15,,,,,3,0,0,0,20,338,81,0,0
16,2024090806,20,,,,,3,1,0,0,17,162,128,0,0
17,2024090807,5,,,,,1,1,0,0,47,200,180,0,0
18,2024090807,23,,,,,4,1,2,0,10,161,58,0,0
19,2024090808,21,,,,,5,0,2,1,6,186,74,0,0
20,2024090808,24,,,,,1,1,1,0,28,208,111,0,0
21,2024090809,17,,,,,1,0,0,0,22,144,176,0,0
22,2024090809,18,,,,,4,2,1,0,10,257,71,0,0
23,2024090810,10,,,,,2,1,1,0,26,171,146,2,0
24,2024090810,29,,,,,2,1,2,0,20,138,99,0,0
25,2024090811,8,,,,,3,0,0,0,33,179,102,0,0
26,2024090811,9,,,,,6,0,2,0,17,169,93,0,1
27,2024090812,30,,,,,2,0,0,0,20,184,138,0,0
28,2024090812,32,,,,,1,0,0,0,37,289,112,0,0
29,2024090813,11,,,,,2,0,1,0,20,317,83,0,0
30,2024090813,19,,,,,2,0,1,0,26,217,163,0,0
31,2024090901,25,,,,,3,0,0,0,32,231,180,0,0
32,2024090901,28,,,,,1,1,1,0,19,203,68,0,0
33,2024091201,4,,,,,2,0,3,1,10,225,139,0,0
34,2024091514,13,,,,,7,0,2,0,13,174,71,0,0
35,2024091505,21,,,,,6,1,1,0,17,319,102,0,0
36,2024091504,25,,,,,4,1,1,0,17,192,130,0,0
37,2024091505,28,,,,,4,1,1,0,23,268,146,0,0
38,2024091513,7,,,,,2,1,2,0,26,151,149,0,0
39,2024091511,1,,,,,5,1,0,0,10,216,53,0,0
40,2024091503,12,,,,,1,0,3,0,10,204,140,0,0
41,2024091501,23,,,,,3,0,2,0,19,299,68,0,0
42,2024091510,3,,,,,5,0,1,0,26,276,27,0,0
43,2024091502,11,,,,,5,0,1,0,20,185,70,0,0
44,2024091512,27,,,,,2,0,2,0,6,246,64,0,0
45,2024091509,8,,,,,4,0,0,0,13,220,127,1,0
46,2024091507,24,,,,,5,0,0,0,21,226,215,0,0
47,2024091508,5,,,,,1,1,1,0,26,130,219,0,0
48,2024091513,16,,,,,3,1,0,0,25,258,74,0,0
49,2024091514,6,,,,,3,1,0,0,19,260,75,0,0
50,2024091510,17,,,,,2,0,1,0,23,247,151,0,0
51,2024091508,18,,,,,2,0,1,0,3,84,90,0,0
52,2024091502,30,,,,,0,0,2,0,16,324,139,0,0
53,2024091506,22,,,,,3,0,0,0,23,327,46,0,0
54,2024091601,2,,,,,1,0,1,0,21,183,186,0,0
55,2024091506,29,,,,,3,0,0,0,20,149,185,0,0
56,2024091511,19,,,,,1,1,0,0,41,266,231,0,0
57,2024091501,9,,,,,1,0,1,0,44,243,190,0,0
58,2024091507,32,,,,,1,1,0,0,18,178,129,0,0
59,2024091503,14,,,,,0,1,0,0,16,122,261,0,0
60,2024091509,15,,,,,2,0,0,0,18,186,125,0,0
61,2024091504,31,,,,,2,0,0,0,24,176,101,0,0
62,2024091512,10,,,,,2,0,0,0,13,117,141,0,0
63,2024091601,26,,,,,1,0,0,0,22,241,152,0,0
64,2024091201,20,,,,,0,0,0,0,31,139,108,0,0
